candidate_id,source_id,page,matched_term,evidence_window
C0028,S07_faqs,2,rights,"ry Trust c/o AUC Woodruff Library 111 James P. Brawley Dr, SW Atlanta, GA 30314 © 2024 HBCU Digital Library Trust | All rights reserved. | Designed by Graphics In Atlanta HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 5:14 PM FAQs | HBCU Digital Trust https://www.thehbcutrust.org/services-1 2/2"
C0029,S08_macarthur_grant,1,access,"d a $500,000 grant from the MacArthur Foundation. This significant funding will bolster the library’s efforts to expand access to valuable resources while enhancing the digitization and preservation of Historically Black Colleges and Universities’ (HBCUs) collections. This grant marks an important milestone, adding momentum to an existing multi-million, multi-year collaborative project, the HBCU Digital Library Trust"
C0030,S08_macarthur_grant,2,preserve,"vestment from the MacArthur Foundation will deepen and sustain the capacity of HBCU libraries and archives to digitize, preserve, and globally share collections integral to African American history and culture. Emphasizing sustainability, this extended project will enable more institutions within the HBCU Library Alliance, in partnership with the HBCU Digital Library Trust, to access training, infrastructure, and sup"
C0031,S08_macarthur_grant,3,digitization,"rested in 6/14/26, 5:17 PM The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project - Robert W. Woodruf… https://www.auctr.edu/news-events/the-auc-woodruff-library-awarded-500000-grant-from-the-macarthur-foundation-to-expand-hbcu-digitization-project/ 3/5"
C0032,S08_macarthur_grant,4,digitization,"LEARN HOW 6/14/26, 5:17 PM The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project - Robert W. Woodruf… https://www.auctr.edu/news-events/the-auc-woodruff-library-awarded-500000-grant-from-the-macarthur-foundation-to-expand-hbcu-digitization-project/ 4/5"
C0033,S08_macarthur_grant,5,rights,"ey Drive SW Atlanta, GA 30314 404.978.2000 askref@auctr.edu Library Policies Sitemap Staff Portal © Copyright 2026. All rights reserved.      Subscribe to Top Shelf Newsletter Email Address* > 6/14/26, 5:17 PM The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project - Robert W. Woodruf… https://www.auctr.edu/news-events/the-auc-woodruff-library-awarded-50"
C0034,S09_digital_yard_transcript,1,preserve,"rust, the Digital Yard is an online gathering place where the history and archives of HBCUs are celebrated, remembered, preserved, and shared. That gathering place, the HBCU Digital Collection, which is an online repository you can access 24 hours a day, 7 days a week, anywhere where there is internet capability. As we take this hour to share more information about the HBCU Digital Library Trust with you, we acknowle"
C0035,S09_digital_yard_transcript,2,access,"rchers, genealogists, and communities of people who appreciate history and understand the magnitude of preservation and accessibility. Today, as we explore the HBCU Digital Library Trust together, you'll learn more about our mission and vision, hear news and updates. Receive remarks from esteemed colleagues who have played significant roles in advancing our initiative. You'll receive a demonstration on how to utilize"
C0036,S09_digital_yard_transcript,3,access,"esources. And we believe that scholars everywhere will benefit from these collaborative networks that support equitable access to a broad diversity of perspectives. And of course, this means engaging in partnerships, and those partnerships need to be based on trust, thus the name of this initiative. So it's in this vein that we have been really honored to be in community and collaboration with the HBCU Library Allian"
C0037,S09_digital_yard_transcript,4,preserve,"ease. The HBCU Digital Library Trust is a collaborative non-profit initiative building capacity with HBCUs to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered Maintained, remembered, and told. Our key partners are our contributing HBCUs, those currently, and those who will soon join the initiative. The"
C0038,S09_digital_yard_transcript,5,access,"de, and will also be added to the chat. Next slide, please. Listed here are all the institutional collections presently accessible in the HBCU Digital Collection. Not all, but the majority of these HBCUs were original contributors who began the work of digitizing and collaboratively making accessible their archives in the mid-2000s. Several more institutions have joined us as collaborators since 2024, and their colle"
C0039,S09_digital_yard_transcript,6,preserve,"can view common attributes, as well as observe diverse aspects of each HBCU. Every asset in the collection is digitally preserved through membership in the Alabama Digital Preservation Network, or ADBNET. To keep lots of copies of these archival collections safe, HBCU institutions also receive copies of access and preservation files for their own use. Professional development opportunities are also key to this initia"
C0040,S09_digital_yard_transcript,7,digitization,"tive's advancement, and we thank them. Next slide, please. Later this hour, you'll have an opportunity to hear from the Digitization Hub team members. This dynamic group of professionals has visited and assisted numerous HBCUs and digitized and or described over 165,000 unique items since 2024. Next slide, please. And last, but certainly not least, our advisory committee provides just that, advice and advocacy for th"
C0041,S09_digital_yard_transcript,8,preserve,"inaugural board chair. Our concern and mission at that time as it is today, is to develop talents within our staff and preserve our historic collections. The work, as you know, continues and is as important today as it was in the years before and during the Civil Rights Movement. It is important to preserve, to protect, and present this history. We are really grateful to the wonderful partnerships we've had along th"
C0042,S09_digital_yard_transcript,9,collaboration,"share some exciting news from the HBCU Digital Library Trust. Next slide, please. Since June 2024, we have established collaborations with these 18 HBCUs as contributors to the HBCU digital collection. We've welcomed these prestigious institutions to our initiative. We are so excited to have them. Please continue to visit the… view the collection repository, as more archival materials will become available for teach"
